X:1251.2	Y:715
X:1251.9	Y:424
X:1252.2	Y:359
X:1253.8	Y:384
X:1254.6	Y:968
X:1255.4	Y:346
X:1256	Y:938
X:1256.6	Y:1099
X:1257.1	Y:1131
X:1257.6	Y:1492
X:1258.5	Y:344
X:1260.5	Y:289
X:1261.6	Y:720
X:1262.2	Y:773
X:1263	Y:2071
X:1265	Y:833
X:1266.3	Y:491
X:1266.9	Y:285
X:1268.1	Y:1095
X:1268.8	Y:553
X:1269.2	Y:310
X:1270.9	Y:1078
X:1272.1	Y:1314
X:1273.8	Y:1312
X:1274.5	Y:1361
X:1275.8	Y:303
X:1276.2	Y:375
X:1277.2	Y:362
X:1278.2	Y:474
X:1278.9	Y:755
X:1280.7	Y:267
X:1281.6	Y:963
X:1282.7	Y:3737
X:1283	Y:2975
X:1283.6	Y:4034
X:1284.1	Y:4690
X:1284.6	Y:2289
X:1285	Y:1235
X:1285.7	Y:663
X:1286.2	Y:584
X:1286.9	Y:617
X:1287.7	Y:1509
X:1289.4	Y:328
X:1290.4	Y:4047
X:1291.7	Y:559
X:1292.9	Y:770
X:1294.3	Y:1202
X:1294.6	Y:1247
X:1295.4	Y:309
X:1296.5	Y:967
X:1297.5	Y:1908
X:1298.2	Y:692
X:1298.9	Y:652
X:1299.6	Y:1821
X:1300.2	Y:467
X:1301	Y:459
X:1302	Y:958
X:1303.6	Y:36592
X:1304.1	Y:54515
X:1304.6	Y:26542
X:1305.1	Y:18217
X:1305.6	Y:5909
X:1306.6	Y:3511
X:1307.1	Y:1422
X:1307.8	Y:2028
X:1308.5	Y:1118
X:1309.6	Y:1573
X:1310.6	Y:336
X:1311.2	Y:392
X:1311.7	Y:1126
X:1312.7	Y:2533
X:1313.6	Y:599
X:1314.3	Y:858
X:1315.1	Y:605
X:1316.1	Y:505
X:1316.6	Y:1321
X:1317.6	Y:659
X:1318.3	Y:807
X:1318.8	Y:473
X:1320.6	Y:569
X:1321.8	Y:464
X:1323.4	Y:926
X:1324.4	Y:1153
X:1325	Y:442
X:1325.5	Y:1011
X:1326.1	Y:1487
X:1327.7	Y:1235
X:1328.4	Y:439
X:1329.1	Y:1205
X:1330	Y:1107
